NAME,housesholds_with_internet_access,high_school_or_ged,bachelors_plus,male,household_income,white,black,amerindian,asian,native_hawaiian,two_or_more_races,state,state_code
Alabama,0.8204571454395546,0.304999731970474,0.2666893783853374,0.4861666675003877,54943,0.6680286333144912,0.2649698109620974,0.004334215410165727,0.014038728008523963,3.405583596372313e-4,0.031077451014721844,AL,01
Alaska,0.8840463461531081,0.28463691879549613,0.30593828837570347,0.5227915988972092,80287,0.6230306093748089,0.032231765430035426,0.14611162971447827,0.0641523688397733,0.014628691312329217,0.10047679804769612,AK,02
Arizona,0.8818430165634641,0.23486985724353074,0.31206465266014843,0.4991939064326874,65913,0.7042782923444914,0.045037132004831615,0.042499416954140175,0.03312449155646476,0.001974657316649911,0.10382821343024067,AZ,04
Arkansas,0.7973387082851372,0.3407388351003567,0.24304726189710532,0.49346890156667195,52123,0.740782135169738,0.15237488894188855,0.0058074535917631885,0.015430216920482891,0.00353489943981141,0.05292303618822949,AR,05
California,0.9041194814242177,0.20439376394508801,0.3527041575814072,0.4996544828784069,84097,0.5209364620308935,0.056602154845756925,0.009139621688342264,0.1492166601576217,0.003758121236426398,0.10734201262880604,CA,06
Colorado,0.9091938174055582,0.20598622315241907,0.42828343120720136,0.5060015627686445,80184,0.7875780860137798,0.04089774628632773,0.009285578496974407,0.03204357161128716,0.0014313730697780394,0.08353229046249845,CO,08
Connecticut,0.8889556037110935,0.2611980977576967,0.40553099095595985,0.49062360449667575,83572,0.7200128698343841,0.1079762462798135,0.0024169770867021882,0.046405738170985734,3.5003730587768666e-4,0.0630363933398607,CT,09
Delaware,0.8925680338601458,0.3039712257717001,0.3364725506720068,0.4860198473966587,72724,0.6573115984242667,0.21972375780635753,0.003120506124909868,0.040415850215706005,3.900632656137335e-4,0.0504250976685827,DE,10
District of Columbia,0.871759151768439,0.1549271517204332,0.6140107355359362,0.4764518688319178,93547,0.4045544635616567,0.4466181856506732,0.002904176803473302,0.04096880059254575,5.25503766354292e-4,0.05687882966358976,DC,11
Florida,0.8723977679217203,0.2790310822194382,0.31532116469230825,0.49154943714929905,61777,0.6770936339402474,0.1573808086519428,0.00255232462292691,0.027969477822667375,6.122373810916917e-4,0.09380259255000126,FL,12
Georgia,0.8622782740695805,0.2721010715876637,0.33002720801553903,0.4885944013593566,65030,0.5585494110223267,0.3153608520542105,0.003287150908441535,0.04217929973935626,6.488095042028155e-4,0.048458653922620006,GA,13
Hawaii,0.8867526593131876,0.2684467798616651,0.34340498342842474,0.5037309992858607,88005,0.23687339095065835,0.019361567748975232,0.0029487484674901514,0.37471190190836173,0.105596980525601,0.2442480141011546,HI,15
Idaho,0.8804354277348535,0.2653744482984685,0.29132878331619133,0.5037096693175213,63377,0.8654141576282404,0.006757498963633041,0.012584889631748874,0.013587861010357047,0.0016648110500177467,0.057026402379752456,ID,16
Illinois,0.8691978406796403,0.2539889317341325,0.3616215764783035,0.493859643718092,72563,0.6784854060810277,0.14069874517745656,0.003331354154049821,0.05658185780747231,3.986175745972898e-4,0.058423875001140636,IL,17
Indiana,0.8521761411667272,0.33013204882060704,0.27843577310476686,0.49536240213054,61944,0.8121789155930527,0.09406665935947531,0.0016884055609701185,0.02424066925973214,3.3711826096745237e-4,0.04265123664339227,IN,18
Iowa,0.8488619343471592,0.3060889180728757,0.2970539897466088,0.5001434372729303,65429,0.8792827507242639,0.03744341934327119,0.0034251940020571924,0.024909014843870415,0.0013154707793739718,0.038930951939076905,IA,19
Kansas,0.8650996983517264,0.25668656484998836,0.3440436306648817,0.5007170631005297,64521,0.8140127601421371,0.05637292601648171,0.007386176251211163,0.029994212337305117,7.489515190312469e-4,0.06120393615631669,KS,20
Kentucky,0.8363488182559087,0.3276522123001188,0.257099572827031,0.49481825336588237,55454,0.8549760677290721,0.08048323361461067,0.0015829498896452068,0.015294802722032977,8.813697656571078e-4,0.03535225085283261,KY,21
Louisiana,0.8115278425882719,0.330648354821777,0.2553031330422116,0.49031811315771673,53571,0.6024675214528574,0.319069075355812,0.005486005318526487,0.01727136187129681,4.6636413118745715e-4,0.03814244504064045,LA,22
Maine,0.8602450863651009,0.30895768418936576,0.3361644386370489,0.4924726206775599,63182,0.9292956907871951,0.014387868944752058,0.005584188008365229,0.010992258184320943,1.6801199075049778e-4,0.034561098149952174,ME,23
Maryland,0.8973834814559751,0.23917496601462698,0.4156017916451986,0.487130857788306,91431,0.5267377891842704,0.2982798369370314,0.0028081440405819586,0.06458227109015223,4.762102253459965e-4,0.05395992059910109,MD,24
Massachusetts,0.8957497067543752,0.23192241765431987,0.45205153391851466,0.48816450920299803,89026,0.7453967847145506,0.07314142232987769,0.002136629894339869,0.06878635302921171,3.4411483538267115e-4,0.06460090974465707,MA,25
Michigan,0.8643138619704788,0.28473803475074577,0.3061709642398845,0.4952366764879386,63202,0.7667360794203276,0.135967738473256,0.004806056380355124,0.03202162640899211,2.8968909552604756e-4,0.04604903825207861,MI,26
Minnesota,0.8860203669642457,0.2388812894395609,0.3756885313350146,0.5006875970818655,77706,0.8071211708654941,0.06638001210481244,0.00929287720669461,0.04997502853377991,4.123113560916975e-4,0.04565440055078308,MN,27
Mississippi,0.7800102825908521,0.2979664202258745,0.232473956552463,0.4867690611094016,49111,0.5736352566191769,0.37526301616131724,0.00450181882648028,0.009805114419402882,3.805160930670238e-4,0.02358896442663235,MS,28
Missouri,0.8509691969698651,0.30483671811030993,0.30688981543853733,0.4929942584377128,61043,0.8028069208767712,0.11327430573534235,0.003240884117876739,0.020093676921759288,0.0013788086168699872,0.04551436172135496,MO,29
Montana,0.852011885969836,0.2779726228528713,0.33655564516345104,0.5061986422728478,60560,0.8703544970305517,0.0057849047012091155,0.060717380132062064,0.008322989894042364,5.389720383903939e-4,0.04486084131587101,MT,30
Nebraska,0.8725144643213407,0.255893641962966,0.32946762172482874,0.5016003238567651,66644,0.8354561666017587,0.04783958841494661,0.009191485436694201,0.024790927911123865,6.021071186996536e-4,0.051352819398610285,NE,31
Nevada,0.8732591212240094,0.27759389772279536,0.26059352261378227,0.5039781148115968,65686,0.5882513880907598,0.0929682489561126,0.012372362006486583,0.08338481674194685,0.0071292262975289926,0.10305049819595599,NV,32
New Hampshire,0.9007711406887722,0.2731369649915932,0.38234733385660363,0.4983664620037532,83449,0.9102825805746352,0.015911964581777106,0.0014487947965820685,0.02669120192395285,3.7385901943994026e-4,0.03708710623644943,NH,33
New Jersey,0.8939003684258244,0.264139749073789,0.415005694361132,0.4915853586691999,89703,0.6267985658256898,0.13269631961103848,0.0026769477748812436,0.09752151391419385,3.5769887537654224e-4,0.06684734629236398,NJ,34
New Mexico,0.800457875917131,0.2603307494047198,0.28531464512045446,0.49704413553645976,54020,0.6469422565832578,0.02123481652780978,0.09373053325027521,0.016266973109455636,8.082997450418752e-4,0.12395383257338935,NM,35
New York,0.8691628984814379,0.2523668639053254,0.38112928837844823,0.4882841418074154,75157,0.6072718296950819,0.15206983732580254,0.0041628168788617505,0.0864637359310297,4.539456006029408e-4,0.05969317532983888,NY,36
North Carolina,0.8542478171772561,0.25231126134035375,0.3301628708815793,0.4888256241763546,60516,0.6622449532758781,0.21155033721352187,0.010969302466995826,0.030354908092217803,6.866967196558472e-4,0.04827403665199129,NC,37
North Dakota,0.8424916756702112,0.2607675775009575,0.3108809935363775,0.5134752451690322,68131,0.8490193238713949,0.03148534158149543,0.050563526709976415,0.015921763148094507,0.0015439442214590143,0.03853265817023213,ND,38
Ohio,0.8626836575370502,0.32644634391558824,0.2969164908789937,0.49278181344092054,61938,0.7964825258415029,0.1234103230751807,0.0015646661409764533,0.023519949960590227,3.3126809750582054e-4,0.04268439139321472,OH,39
Oklahoma,0.8396322017623887,0.3082077552947168,0.26848601912536557,0.4976847302119279,56956,0.6971778581082313,0.07206843938506678,0.0769456776564941,0.02244122289607045,0.0017122003902601125,0.09963866492947558,OK,40
Oregon,0.8950087781671814,0.22483808957136645,0.350372013693227,0.49829826508368913,70084,0.8069158963361893,0.018519068724705427,0.010951524026681073,0.04438225441905582,0.004105365664434845,0.07739441435432833,OR,41
Pennsylvania,0.8576633863548638,0.3379619177836529,0.3311475600551699,0.49297583390192473,67587,0.7828252246417874,0.10987961281817026,0.0015813394085878504,0.03553653826138243,3.4123193517672593e-4,0.0428044084143817,PA,42
Rhode Island,0.8820462592175158,0.2787787872660984,0.35320075918159705,0.4892929981162124,74489,0.7703482488651027,0.06355425024428797,0.004063376586269139,0.03452633776852215,6.309818498849305e-4,0.06590784001816935,RI,44
South Carolina,0.8323491598813426,0.2874142720728473,0.2983669744075781,0.48712468027052297,58234,0.6566301817538157,0.2616098397626417,0.0030705449582321223,0.016428941446607663,8.9487828375537e-4,0.039727870368857214,SC,45
South Dakota,0.8520615769031665,0.30124173826122175,0.299942264772032,0.5063150314419048,63920,0.8261945939202867,0.02188742153699598,0.08312230305573354,0.014376520353600935,8.539496589304649e-4,0.0436829839473341,SD,46
Tennessee,0.8380120617339221,0.31556107278782114,0.2903720521272258,0.4901378337216271,58516,0.7578115421582661,0.16482374728059507,0.0022186758008641157,0.018307610601768613,6.286175210806274e-4,0.03813588664008454,TN,47
Texas,0.8694719709012524,0.2450993097601226,0.31532558742679506,0.4988525107993634,67321,0.6432559513648485,0.12125949512276812,0.0051240046758119105,0.05033205450337238,8.525918039000046e-4,0.10921008762175496,TX,48
Utah,0.9082601380930314,0.22666115117646446,0.3542708626018545,0.5056192884132736,79133,0.8369703871732423,0.011928377127967394,0.010287277532439802,0.02337398688481975,0.009001135741187175,0.05643364888576672,UT,49
Vermont,0.8460958272701646,0.2797323434471013,0.4085921186103159,0.4964380171342987,67674,0.929313615019084,0.012726822175155111,0.0023689406938814314,0.016768047977283106,2.57154746375287e-4,0.03369818137046336,VT,50
Virginia,0.8761115803834845,0.23841597845549553,0.40329596783419897,0.49464507865384816,80615,0.6494984724110597,0.19014797472851375,0.0027972104563261965,0.0673709775462311,6.190519079627226e-4,0.05864739080631599,VA,51
Washington,0.9132101638526783,0.21791415687186805,0.3728239709683457,0.5030564378963641,82400,0.7174412303258713,0.038517392630836596,0.011918689982518887,0.08962562377221306,0.006682364135414823,0.08606573087488008,WA,53
West Virginia,0.8078841417469832,0.4008344849496914,0.21776191512104884,0.4978892856329839,50884,0.9207994896307652,0.033948548873462076,0.0010610483112896984,0.007707730328269803,3.7922344144995497e-4,0.030794831234463915,WV,54
Wisconsin,0.8643610798153731,0.30035889102548985,0.3148952810361287,0.5003049392667595,67080,0.8334982213721126,0.06342992212936,0.007805457433595025,0.028385494326051863,4.874259600477616e-4,0.04419141363917297,WI,55
Wyoming,0.8727655829319367,0.2843690569558286,0.2852225485823837,0.511937236512839,68002,0.8864770281683058,0.009090578019946553,0.022521811664449803,0.008750678498407154,7.509004736048945e-4,0.04931491170416256,WY,56
Puerto Rico,0.6802505034300086,0.28030871422426296,0.2743139961785861,0.47469976812550096,21967,0.5114801734921363,0.099554129316994,0.0016329062469611394,0.0018914170195519912,7.398964869714799e-5,0.1694674013687783,PR,72
